0,1,2,3,4,5,6,7,8,9,10
cream cheese ,chocolate marshmallow,spread cheese,pastry,,,,,,,
canned beer,sugar,hygiene articles,whole milk,,,,,,,
whole milk,Instant food products,,,,,,,,,
bottled water,grapes,,,,,,,,,
other vegetables,tropical fruit,sweet spreads,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
hamburger meat,toilet cleaner,rolls/buns,,,,,,,,
frankfurter,soda,,,,,,,,,
hard cheese,whipped/sour cream,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
other vegetables,curd,,,,,,,,,
yogurt,sausage,whipped/sour cream,onions,,,,,,,
meat,butter,,,,,,,,,
other vegetables,beverages,,,,,,,,,
tropical fruit,cat food,,,,,,,,,
frankfurter,sliced cheese,butter,,,,,,,,
frozen vegetables,butter,,,,,,,,,
whole milk,canned beer,,,,,,,,,
shopping bags,napkins,,,,,,,,,
canned beer,UHT-milk,,,,,,,,,
packaged fruit/vegetables,other vegetables,,,,,,,,,
sausage,tropical fruit,,,,,,,,,
chicken,whole milk,whole milk,chewing gum,,,,,,,
chicken,canned beer,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
cream cheese ,long life bakery product,pastry,,,,,,,,
whole milk,whole milk,,,,,,,,,
dishes,shopping bags,,,,,,,,,
pork,whole milk,flower (seeds),,,,,,,,
yogurt,curd,,,,,,,,,
sausage,soda,,,,,,,,,
instant coffee,chewing gum,,,,,,,,,
margarine,cream cheese ,misc. beverages,,,,,,,,
bottled water,UHT-milk,,,,,,,,,
meat,soda,,,,,,,,,
pip fruit,pastry,,,,,,,,,
whole milk,ice cream,soda,yogurt,spices,,,,,,
whole milk,hamburger meat,roll products ,,,,,,,,
mayonnaise,candy,rolls/buns,bottled beer,,,,,,,
sausage,liquor (appetizer),,,,,,,,,
shopping bags,domestic eggs,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
beef,berries,,,,,,,,,
whole milk,root vegetables,detergent,,,,,,,,
canned beer,flower soil/fertilizer,,,,,,,,,
pip fruit,bottled water,bottled water,,,,,,,,
curd,whipped/sour cream,,,,,,,,,
specialty cheese,meat,cat food,bottled beer,newspapers,,,,,,
pip fruit,brown bread,oil,,,,,,,,
sausage,root vegetables,,,,,,,,,
domestic eggs,other vegetables,,,,,,,,,
sausage,whole milk,,,,,,,,,
whole milk,frozen vegetables,soda,UHT-milk,,,,,,,
waffles,shopping bags,soda,cream cheese ,,,,,,,
fish,sausage,other vegetables,soda,rolls/buns,,,,,,
frankfurter,herbs,,,,,,,,,
rolls/buns,root vegetables,specialty chocolate,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
newspapers,salty snack,,,,,,,,,
citrus fruit,tropical fruit,UHT-milk,cat food,chocolate,root vegetables,rolls/buns,sweet spreads,,,
liquor,soda,,,,,,,,,
cat food,rolls/buns,,,,,,,,,
margarine,domestic eggs,,,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
popcorn,dishes,whole milk,,,,,,,,
UHT-milk,soft cheese,,,,,,,,,
chicken,waffles,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
beef,other vegetables,,,,,,,,,
other vegetables,coffee,,,,,,,,,
citrus fruit,liquor,white bread,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
dog food,processed cheese,,,,,,,,,
onions,whipped/sour cream,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
canned beer,flour,newspapers,,,,,,,,
curd,soda,,,,,,,,,
soap,yogurt,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
specialty chocolate,whole milk,,,,,,,,,
root vegetables,pork,soda,coffee,pastry,,,,,,
sausage,coffee,pip fruit,tropical fruit,,,,,,,
sausage,yogurt,whole milk,,,,,,,,
butter,rolls/buns,,,,,,,,,
frozen potato products,specialty cheese,,,,,,,,,
red/blush wine,canned fish,,,,,,,,,
soda,shopping bags,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
citrus fruit,frankfurter,tropical fruit,napkins,,,,,,,
pip fruit,canned beer,,,,,,,,,
soda,other vegetables,bottled beer,,,,,,,,
tropical fruit,turkey,salty snack,,,,,,,,
pork,rolls/buns,,,,,,,,,
bottled water,sauces,,,,,,,,,
condensed milk,whole milk,,,,,,,,,
chicken,shopping bags,,,,,,,,,
nuts/prunes,white wine,,,,,,,,,
frozen meals,hamburger meat,whole milk,pastry,fruit/vegetable juice,,,,,,
red/blush wine,berries,,,,,,,,,
sausage,grapes,sliced cheese,napkins,,,,,,,
soda,chewing gum,,,,,,,,,
other vegetables,pastry,,,,,,,,,
other vegetables,margarine,shopping bags,processed cheese,,,,,,,
chicken,yogurt,rolls/buns,,,,,,,,
pastry,other vegetables,,,,,,,,,
fruit/vegetable juice,spices,,,,,,,,,
butter milk,soda,ham,bottled beer,detergent,,,,,,
whole milk,whole milk,domestic eggs,,,,,,,,
coffee,misc. beverages,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
nut snack,whole milk,,,,,,,,,
other vegetables,mustard,,,,,,,,,
pip fruit,white wine,white wine,,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
whipped/sour cream,whipped/sour cream,,,,,,,,,
hamburger meat,pasta,,,,,,,,,
whole milk,coffee,,,,,,,,,
pork,pork,whole milk,pasta,,,,,,,
bottled beer,newspapers,,,,,,,,,
citrus fruit,soda,,,,,,,,,
citrus fruit,beef,tropical fruit,curd,,,,,,,
long life bakery product,onions,,,,,,,,,
curd,whole milk,canned beer,,,,,,,,
other vegetables,whole milk,,,,,,,,,
coffee,margarine,,,,,,,,,
pip fruit,herbs,frozen meals,,,,,,,,
specialty bar,soda,,,,,,,,,
shopping bags,whipped/sour cream,,,,,,,,,
yogurt,canned beer,,,,,,,,,
root vegetables,sliced cheese,newspapers,shopping bags,,,,,,,
citrus fruit,salty snack,,,,,,,,,
soda,napkins,,,,,,,,,
soda,whole milk,,,,,,,,,
fruit/vegetable juice,bottled beer,,,,,,,,,
rolls/buns,hygiene articles,,,,,,,,,
yogurt,pastry,,,,,,,,,
bottled beer,cream cheese ,chocolate,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
domestic eggs,sugar,Instant food products,,,,,,,,
yogurt,sliced cheese,,,,,,,,,
canned beer,domestic eggs,,,,,,,,,
misc. beverages,UHT-milk,white bread,,,,,,,,
sugar,shopping bags,,,,,,,,,
mayonnaise,bottled beer,rolls/buns,specialty fat,,,,,,,
whole milk,canned vegetables,,,,,,,,,
other vegetables,domestic eggs,semi-finished bread,,,,,,,,
whole milk,pip fruit,,,,,,,,,
long life bakery product,brown bread,,,,,,,,,
grapes,grapes,,,,,,,,,
pastry,fruit/vegetable juice,,,,,,,,,
sausage,finished products,,,,,,,,,
canned beer,white bread,,,,,,,,,
root vegetables,softener,,,,,,,,,
pork,shopping bags,hygiene articles,,,,,,,,
cream cheese ,sugar,,,,,,,,,
brown bread,butter milk,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
beef,whole milk,cream cheese ,butter,,,,,,,
whole milk,beverages,,,,,,,,,
pip fruit,soda,,,,,,,,,
citrus fruit,other vegetables,dessert,bottled beer,,,,,,,
grapes,zwieback,,,,,,,,,
hard cheese,waffles,,,,,,,,,
margarine,beef,whipped/sour cream,,,,,,,,
packaged fruit/vegetables,waffles,,,,,,,,,
tropical fruit,waffles,,,,,,,,,
sausage,pastry,,,,,,,,,
soft cheese,coffee,,,,,,,,,
salty snack,pip fruit,,,,,,,,,
root vegetables,ice cream,,,,,,,,,
dessert,whipped/sour cream,,,,,,,,,
citrus fruit,canned fruit,pip fruit,dessert,,,,,,,
berries,domestic eggs,,,,,,,,,
fruit/vegetable juice,bottled water,,,,,,,,,
UHT-milk,salt,,,,,,,,,
citrus fruit,soda,,,,,,,,,
whole milk,candy,,,,,,,,,
onions,root vegetables,soap,cream cheese ,,,,,,,
sausage,canned beer,,,,,,,,,
beverages,cake bar,,,,,,,,,
pork,citrus fruit,UHT-milk,dessert,,,,,,,
citrus fruit,roll products ,,,,,,,,,
ice cream,rolls/buns,butter milk,,,,,,,,
citrus fruit,beverages,pip fruit,other vegetables,,,,,,,
whole milk,soda,soda,fruit/vegetable juice,,,,,,,
hard cheese,processed cheese,,,,,,,,,
root vegetables,misc. beverages,,,,,,,,,
citrus fruit,frankfurter,coffee,UHT-milk,candy,fruit/vegetable juice,,,,,
pip fruit,root vegetables,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
tropical fruit,bottled beer,cake bar,yogurt,,,,,,,
citrus fruit,yogurt,,,,,,,,,
bottled beer,bottled beer,,,,,,,,,
beef,shopping bags,pickled vegetables,,,,,,,,
organic sausage,UHT-milk,,,,,,,,,
frankfurter,sausage,,,,,,,,,
frankfurter,red/blush wine,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
ham,other vegetables,,,,,,,,,
hard cheese,flower soil/fertilizer,condensed milk,curd,,,,,,,
sweet spreads,rolls/buns,,,,,,,,,
pip fruit,bottled water,,,,,,,,,
pip fruit,candles,rolls/buns,,,,,,,,
brandy,domestic eggs,,,,,,,,,
yogurt,salty snack,,,,,,,,,
chicken,herbs,frozen meals,,,,,,,,
dessert,butter,,,,,,,,,
fruit/vegetable juice,frozen vegetables,chocolate,,,,,,,,
beef,UHT-milk,,,,,,,,,
pastry,cream cheese ,,,,,,,,,
yogurt,specialty vegetables,,,,,,,,,
frozen meals,sugar,,,,,,,,,
newspapers,chocolate,,,,,,,,,
chicken,finished products,meat,fruit/vegetable juice,,,,,,,
frozen vegetables,pastry,,,,,,,,,
zwieback,shopping bags,kitchen towels,,,,,,,,
rolls/buns,rolls/buns,sugar,,,,,,,,
hamburger meat,soft cheese,,,,,,,,,
butter milk,hard cheese,,,,,,,,,
root vegetables,yogurt,pickled vegetables,,,,,,,,
fruit/vegetable juice,herbs,,,,,,,,,
citrus fruit,soda,,,,,,,,,
domestic eggs,sausage,bottled water,curd,frozen meals,hygiene articles,chocolate,rolls/buns,,,
pastry,canned beer,,,,,,,,,
condensed milk,domestic eggs,,,,,,,,,
UHT-milk,berries,,,,,,,,,
tropical fruit,soda,,,,,,,,,
pork,pickled vegetables,,,,,,,,,
liquor,dessert,waffles,,,,,,,,
brown bread,rolls/buns,,,,,,,,,
sausage,pip fruit,,,,,,,,,
beverages,soda,,,,,,,,,
cream cheese ,canned beer,chewing gum,,,,,,,,
yogurt,flower (seeds),,,,,,,,,
pastry,ice cream,,,,,,,,,
beef,waffles,domestic eggs,,,,,,,,
misc. beverages,frozen meals,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
white bread,soda,,,,,,,,,
pork,liquor,,,,,,,,,
other vegetables,canned vegetables,canned beer,,,,,,,,
yogurt,whole milk,yogurt,chewing gum,,,,,,,
canned beer,yogurt,cream cheese ,,,,,,,,
dessert,brown bread,,,,,,,,,
chocolate,whipped/sour cream,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
tropical fruit,berries,whole milk,soap,,,,,,,
tropical fruit,frozen meals,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
dish cleaner,waffles,,,,,,,,,
butter,whipped/sour cream,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
canned fruit,dog food,,,,,,,,,
seasonal products,soups,,,,,,,,,
soda,soda,salty snack,,,,,,,,
canned beer,specialty cheese,,,,,,,,,
salty snack,butter milk,,,,,,,,,
coffee,frankfurter,frankfurter,bottled beer,butter,margarine,sugar,brown bread,soda,,
meat,chocolate,,,,,,,,,
meat,whole milk,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
photo/film,soda,,,,,,,,,
hard cheese,whole milk,,,,,,,,,
ice cream,pasta,,,,,,,,,
rolls/buns,specialty bar,,,,,,,,,
other vegetables,pip fruit,,,,,,,,,
tropical fruit,soda,,,,,,,,,
semi-finished bread,other vegetables,soda,,,,,,,,
frankfurter,bottled beer,,,,,,,,,
root vegetables,bottled water,,,,,,,,,
cream cheese ,newspapers,,,,,,,,,
fruit/vegetable juice,long life bakery product,,,,,,,,,
soft cheese,rolls/buns,detergent,,,,,,,,
whole milk,root vegetables,,,,,,,,,
oil,bottled water,oil,,,,,,,,
bottled beer,other vegetables,butter,,,,,,,,
chewing gum,yogurt,,,,,,,,,
rolls/buns,hamburger meat,,,,,,,,,
chicken,onions,,,,,,,,,
bottled beer,flower (seeds),,,,,,,,,
berries,processed cheese,,,,,,,,,
citrus fruit,onions,,,,,,,,,
beef,pastry,,,,,,,,,
yogurt,root vegetables,candles,,,,,,,,
tropical fruit,citrus fruit,male cosmetics,,,,,,,,
root vegetables,other vegetables,whole milk,frozen meals,,,,,,,
brown bread,bottled water,pastry,curd,,,,,,,
whole milk,bottled beer,,,,,,,,,
pip fruit,vinegar,misc. beverages,,,,,,,,
ham,root vegetables,margarine,whipped/sour cream,,,,,,,
berries,other vegetables,,,,,,,,,
rolls/buns,cat food,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
beef,whipped/sour cream,,,,,,,,,
soda,brown bread,,,,,,,,,
soda,canned beer,citrus fruit,frozen meals,,,,,,,
pastry,liquor,shopping bags,,,,,,,,
pip fruit,dessert,hard cheese,,,,,,,,
yogurt,whole milk,waffles,,,,,,,,
frozen fish,whipped/sour cream,,,,,,,,,
tropical fruit,sliced cheese,,,,,,,,,
newspapers,rolls/buns,,,,,,,,,
chocolate,citrus fruit,yogurt,,,,,,,,
red/blush wine,bottled water,,,,,,,,,
UHT-milk,pip fruit,specialty chocolate,chewing gum,canned fruit,,,,,,
other vegetables,whole milk,,,,,,,,,
sausage,bottled beer,,,,,,,,,
ham,citrus fruit,sugar,ice cream,whole milk,chocolate marshmallow,specialty bar,candy,,,
liquor,other vegetables,whole milk,other vegetables,,,,,,,
bottled water,whole milk,citrus fruit,citrus fruit,pickled vegetables,salad dressing,,,,,
frankfurter,rolls/buns,shopping bags,margarine,,,,,,,
sausage,coffee,yogurt,white wine,,,,,,,
finished products,whole milk,,,,,,,,,
root vegetables,pasta,pip fruit,red/blush wine,,,,,,,
pickled vegetables,butter,,,,,,,,,
oil,specialty vegetables,,,,,,,,,
margarine,processed cheese,,,,,,,,,
rolls/buns,soda,snack products,long life bakery product,,,,,,,
margarine,napkins,,,,,,,,,
butter,fruit/vegetable juice,,,,,,,,,
root vegetables,pip fruit,,,,,,,,,
domestic eggs,napkins,,,,,,,,,
other vegetables,brown bread,flower (seeds),,,,,,,,
brown bread,domestic eggs,,,,,,,,,
pork,pip fruit,,,,,,,,,
yogurt,butter,,,,,,,,,
napkins,cleaner,,,,,,,,,
hamburger meat,white bread,,,,,,,,,
pork,long life bakery product,,,,,,,,,
cream cheese ,coffee,,,,,,,,,
red/blush wine,yogurt,,,,,,,,,
dessert,butter,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
specialty chocolate,yogurt,rolls/buns,misc. beverages,,,,,,,
herbs,white bread,curd cheese,,,,,,,,
root vegetables,waffles,whipped/sour cream,,,,,,,,
tropical fruit,nuts/prunes,,,,,,,,,
pip fruit,shopping bags,butter,,,,,,,,
soda,bottled water,butter,,,,,,,,
napkins,canned vegetables,,,,,,,,,
long life bakery product,brown bread,,,,,,,,,
rolls/buns,red/blush wine,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
root vegetables,white bread,,,,,,,,,
newspapers,other vegetables,,,,,,,,,
meat,semi-finished bread,,,,,,,,,
pork,chicken,other vegetables,curd,hard cheese,,,,,,
chewing gum,UHT-milk,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
yogurt,tropical fruit,,,,,,,,,
ham,bottled beer,,,,,,,,,
bottled beer,cat food,newspapers,,,,,,,,
meat,citrus fruit,,,,,,,,,
rolls/buns,sausage,tropical fruit,soda,yogurt,onions,flour,specialty chocolate,whipped/sour cream,,
pip fruit,tropical fruit,shopping bags,,,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
yogurt,soda,,,,,,,,,
soda,sausage,UHT-milk,soda,rolls/buns,,,,,,
whole milk,whole milk,,,,,,,,,
yogurt,citrus fruit,,,,,,,,,
root vegetables,fruit/vegetable juice,,,,,,,,,
hamburger meat,pip fruit,,,,,,,,,
sausage,butter,specialty bar,soda,whipped/sour cream,,,,,,
bottled water,yogurt,newspapers,soda,,,,,,,
liquor,canned beer,,,,,,,,,
specialty bar,soda,,,,,,,,,
candy,soda,candy,,,,,,,,
yogurt,chicken,liquor,chewing gum,soda,,,,,,
other vegetables,whole milk,,,,,,,,,
rolls/buns,misc. beverages,bottled water,decalcifier,semi-finished bread,soda,,,,,
oil,flour,,,,,,,,,
frankfurter,butter,,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
frozen potato products,whole milk,pastry,rolls/buns,candy,bottled beer,,,,,
root vegetables,whipped/sour cream,,,,,,,,,
tropical fruit,pip fruit,prosecco,,,,,,,,
meat,rolls/buns,pastry,,,,,,,,
sausage,chicken,,,,,,,,,
chicken,canned beer,,,,,,,,,
other vegetables,other vegetables,pip fruit,specialty bar,,,,,,,
bottled water,misc. beverages,fruit/vegetable juice,,,,,,,,
canned vegetables,napkins,,,,,,,,,
pork,pastry,,,,,,,,,
UHT-milk,rice,newspapers,,,,,,,,
coffee,frozen fish,,,,,,,,,
newspapers,processed cheese,,,,,,,,,
root vegetables,yogurt,canned vegetables,,,,,,,,
turkey,frozen dessert,shopping bags,,,,,,,,
yogurt,other vegetables,rolls/buns,herbs,,,,,,,
meat,white bread,,,,,,,,,
hamburger meat,spread cheese,pasta,,,,,,,,
berries,other vegetables,,,,,,,,,
canned beer,sliced cheese,long life bakery product,pasta,,,,,,,
tropical fruit,pip fruit,,,,,,,,,
waffles,brown bread,,,,,,,,,
pastry,other vegetables,,,,,,,,,
whipped/sour cream,specialty bar,,,,,,,,,
rolls/buns,instant coffee,,,,,,,,,
root vegetables,ice cream,rolls/buns,,,,,,,,
shopping bags,red/blush wine,butter,,,,,,,,
yogurt,other vegetables,soft cheese,,,,,,,,
butter milk,rolls/buns,,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
citrus fruit,soda,herbs,oil,,,,,,,
rolls/buns,grapes,bottled beer,sausage,salty snack,Instant food products,domestic eggs,bottled water,,,
root vegetables,other vegetables,frozen vegetables,,,,,,,,
brown bread,pet care,,,,,,,,,
frankfurter,whole milk,other vegetables,root vegetables,,,,,,,
other vegetables,cream cheese ,,,,,,,,,
whole milk,pastry,yogurt,pot plants,,,,,,,
butter,chocolate,,,,,,,,,
bottled water,cream cheese ,,,,,,,,,
cling film/bags,domestic eggs,domestic eggs,,,,,,,,
bottled water,other vegetables,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
tropical fruit,yogurt,sausage,rolls/buns,,,,,,,
frankfurter,pip fruit,whole milk,other vegetables,salty snack,whipped/sour cream,,,,,
bottled beer,fruit/vegetable juice,,,,,,,,,
citrus fruit,onions,salty snack,brown bread,,,,,,,
whole milk,frozen meals,shopping bags,whole milk,,,,,,,
waffles,specialty chocolate,,,,,,,,,
whole milk,curd,rolls/buns,rolls/buns,,,,,,,
soda,shopping bags,,,,,,,,,
margarine,frozen vegetables,,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
whole milk,white bread,,,,,,,,,
root vegetables,rolls/buns,salty snack,,,,,,,,
tropical fruit,soda,,,,,,,,,
meat,specialty chocolate,,,,,,,,,
newspapers,frozen meals,,,,,,,,,
meat,house keeping products,,,,,,,,,
coffee,dishes,,,,,,,,,
frankfurter,chicken,processed cheese,dessert,,,,,,,
misc. beverages,frankfurter,salt,curd,,,,,,,
dessert,soft cheese,shopping bags,,,,,,,,
citrus fruit,ham,,,,,,,,,
pork,frozen meals,,,,,,,,,
soda,soda,,,,,,,,,
beef,yogurt,,,,,,,,,
frozen vegetables,pip fruit,hygiene articles,,,,,,,,
canned beer,specialty chocolate,,,,,,,,,
long life bakery product,other vegetables,,,,,,,,,
pastry,other vegetables,,,,,,,,,
coffee,soda,,,,,,,,,
sliced cheese,root vegetables,whipped/sour cream,,,,,,,,
citrus fruit,specialty bar,domestic eggs,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
whole milk,beef,tropical fruit,tropical fruit,whole milk,domestic eggs,coffee,other vegetables,,,
yogurt,dessert,,,,,,,,,
beef,fruit/vegetable juice,yogurt,,,,,,,,
whole milk,hygiene articles,,,,,,,,,
other vegetables,frozen meals,,,,,,,,,
white wine,domestic eggs,,,,,,,,,
root vegetables,flower (seeds),,,,,,,,,
beverages,frozen meals,,,,,,,,,
chocolate,sliced cheese,bottled water,oil,,,,,,,
margarine,waffles,,,,,,,,,
cream cheese ,whole milk,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
white wine,soda,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
soda,margarine,specialty chocolate,,,,,,,,
meat,hamburger meat,,,,,,,,,
other vegetables,waffles,,,,,,,,,
cereals,bottled water,,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
salty snack,rolls/buns,,,,,,,,,
white bread,domestic eggs,,,,,,,,,
pip fruit,canned beer,hygiene articles,coffee,,,,,,,
brown bread,sausage,yogurt,butter milk,canned beer,frozen vegetables,curd,cake bar,,,
cream,newspapers,,,,,,,,,
dish cleaner,coffee,,,,,,,,,
sausage,other vegetables,,,,,,,,,
soda,vinegar,napkins,,,,,,,,
tropical fruit,cream cheese ,,,,,,,,,
sausage,white bread,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
sausage,bottled beer,,,,,,,,,
other vegetables,soda,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
citrus fruit,tropical fruit,,,,,,,,,
bottled beer,yogurt,,,,,,,,,
bottled beer,chocolate,,,,,,,,,
candy,domestic eggs,,,,,,,,,
whole milk,kitchen towels,,,,,,,,,
whole milk,soda,soda,,,,,,,,
soda,curd,,,,,,,,,
long life bakery product,waffles,,,,,,,,,
packaged fruit/vegetables,herbs,,,,,,,,,
other vegetables,rolls/buns,rolls/buns,whole milk,newspapers,,,,,,
curd,bottled beer,hamburger meat,sweet spreads,,,,,,,
canned beer,bottled beer,yogurt,fruit/vegetable juice,,,,,,,
hamburger meat,margarine,,,,,,,,,
rolls/buns,semi-finished bread,,,,,,,,,
bottled water,newspapers,,,,,,,,,
whole milk,canned beer,newspapers,whipped/sour cream,,,,,,,
beef,ice cream,other vegetables,,,,,,,,
rolls/buns,detergent,,,,,,,,,
whole milk,canned beer,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
yogurt,brown bread,,,,,,,,,
ice cream,grapes,,,,,,,,,
ice cream,flower (seeds),,,,,,,,,
curd,whole milk,pet care,,,,,,,,
soda,domestic eggs,,,,,,,,,
liver loaf,other vegetables,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
frankfurter,beef,meat,waffles,whole milk,curd,white bread,frozen meals,sugar,,
citrus fruit,soda,,,,,,,,,
pork,sliced cheese,flour,,,,,,,,
pip fruit,pork,seasonal products,canned beer,,,,,,,
ice cream,pastry,,,,,,,,,
pickled vegetables,frozen vegetables,,,,,,,,,
canned beer,rolls/buns,,,,,,,,,
pip fruit,pip fruit,,,,,,,,,
whipped/sour cream,fruit/vegetable juice,,,,,,,,,
pork,frozen meals,canned beer,,,,,,,,
